Events,Weight,RI
E0001,0.035594363,2.073099627
E0002,0.032774349,2.230391421
E0003,0.030463034,2.399617379
E0004,0.028314718,2.581682978
E0005,0.026317906,2.777562396
E0006,0.024461913,2.988303727
E0007,0.022736809,3.215034584
E0008,0.021133362,3.458968138
E0009,0.019642994,3.721409605
E0010,0.01825773,4.00376323
E0011,0.016970157,4.307539805
E0012,0.015773387,4.634364748
E0013,0.014661015,4.985986801
E0014,0.01362709,5.364287392
E0015,0.01266608,5.771290692
E0016,0.011772842,6.209174458
E0017,0.010942596,6.680281674
E0018,0.010170902,7.187133096
E0019,0.009453629,7.732440735
E0020,0.00878694,8.319122371
E0021,0.008167267,8.950317164
E0022,0.007591294,9.629402448
E0023,0.00705594,10.36001181
E0024,0.006558341,11.14605452
E0025,0.006095833,11.99173646
E0026,0.005665943,12.90158263
E0027,0.005266369,13.88046134
E0028,0.004894974,14.93361028
E0029,0.00454977,16.06666454
E0030,0.004228911,17.28568675
E0031,0.003930679,18.59719955
E0032,0.00365348,20.00822045
E0033,0.003395829,21.5262994
E0034,0.003156348,23.15955919
E0035,0.002933756,24.91673891
E0036,0.002726861,26.80724072
E0037,0.002534557,28.84118011
E0038,0.002355815,31.02944011
E0039,0.002189678,33.38372943
E0040,0.002035258,35.91664519
E0041,0.001891727,38.64174027
E0042,0.001758319,41.57359583
E0043,0.001634318,44.72789938
E0044,0.001519063,48.12152865
E0045,0.001411935,51.77264194
E0046,0.001312363,55.70077528
E0047,0.001219812,59.92694695
E0048,0.001133789,64.47376994
E0049,0.001053832,69.36557294
E0050,0.000979513,74.62853055
E0051,0.000910436,80.29080329
E0052,0.00084623,86.38268831
E0053,0.000786552,92.93678146
E0054,0.000731083,99.98815177
E0055,0.000679525,107.574529
E0056,0.000631604,115.7365057
E0057,0.000587062,124.517754
E0058,0.000545661,133.9652599
E0059,0.00050718,144.1295742
E0060,0.000471413,155.0650831
E0061,0.000438168,166.8302993
E0062,0.000407267,179.4881749
E0063,0.000378546,193.1064385
E0064,0.00035185,207.7579573
E0065,0.000327037,223.5211274
E0066,0.000303973,240.4802927
E0067,0.000282537,258.7261967
E0068,0.000262612,278.3564679
E0069,0.000244092,299.4761419
E0070,0.000226878,322.198224
E0071,0.000210878,346.6442932
E0072,0.000196006,372.9451532
E0073,0.000182184,401.241532
E0074,0.000169336,431.6848353
E0075,0.000157394,464.4379561
E0076,0.000146294,499.6761466
E0077,0.000135977,537.587956
E0078,0.000126388,578.3762391
E0079,0.000117475,622.2592419
E0080,0.00010919,669.4717692
E0081,0.00010149,720.2664415
E0082,9.43E-05,774.9150458
E0083,8.77E-05,833.7099907
E0084,8.15E-05,896.9658705
E0085,7.57E-05,965.0211485
E0086,7.04E-05,1038.239969
E0087,6.54E-05,1117.014103
E0088,6.08E-05,1201.765048
E0089,5.65E-05,1292.946281
E0090,5.26E-05,1391.045687
E0091,4.88E-05,1496.588165
E0092,4.54E-05,1610.138443
E0093,4.22E-05,1732.304094
E0094,3.92E-05,1863.73879
E0095,3.65E-05,2005.1458
E0096,3.39E-05,2157.28175
E0097,3.15E-05,2320.960675
E0098,2.93E-05,2497.058372
E0099,2.72E-05,2686.517088
E0100,2.53E-05,2890.35056
